"E","S","Stat","dat","type"
1.7909e-08,7.8092,0.027114,"Dam18","rel"
2.8383e-08,7.8195,0.016001,"Dam18","rel"
4.4985e-08,7.7802,0.015102,"Dam18","rel"
7.1296e-08,7.7661,0.017252,"Dam18","rel"
1.13e-07,7.6519,0.024333,"Dam18","rel"
1.7909e-07,7.5714,0.036717,"Dam18","rel"
2.8383e-07,7.5733,0.045931,"Dam18","rel"
4.4985e-07,7.6167,0.052407,"Dam18","rel"
7.1296e-07,7.571,0.059494,"Dam18","rel"
1.13e-06,7.4976,0.066445,"Dam18","rel"
1.7909e-06,7.5745,0.074939,"Dam18","rel"
2.8383e-06,7.5757,0.083775,"Dam18","rel"
4.4985e-06,7.6668,0.093976,"Dam18","rel"
7.1296e-06,7.5095,0.10263,"Dam18","rel"
1.13e-05,7.7362,0.11767,"Dam18","rel"
1.7909e-05,7.4136,0.12603,"Dam18","rel"
2.8383e-05,7.7286,0.1438,"Dam18","rel"
4.4985e-05,7.6756,0.15864,"Dam18","rel"
7.1296e-05,7.5196,0.17379,"Dam18","rel"
0.000113,7.8341,0.19866,"Dam18","rel"
0.00017909,7.5144,0.21469,"Dam18","rel"
0.00028383,7.2445,0.25093,"Dam18","rel"
0.00044985,6.9702,0.25641,"Dam18","rel"
0.00071296,6.8301,0.27691,"Dam18","rel"
0.00113,7.0019,0.3125,"Dam18","rel"
0.0017909,5.6533,0.29929,"Dam18","rel"
0.0028383,5.3962,0.33142,"Dam18","rel"
0.0044985,4.9763,0.33659,"Dam18","rel"
0.0071296,5.153,0.39149,"Dam18","rel"
0.0113,3.5495,0.32201,"Dam18","rel"
0.017909,3.4931,0.32915,"Dam18","rel"
0.028383,3.8298,0.41614,"Dam18","rel"
0.01331079,3.403512,0.03403512,"Gib59","rel"
0.01855621,3.025938,0.03025938,"Gib59","rel"
0.02467585,2.718642,0.02718642,"Gib59","rel"
0.03516666,2.372191,0.02372191,"Gib59","rel"
0.04478322,2.154046,0.02154046,"Gib59","rel"
0.05614824,1.929502,0.01929502,"Gib59","rel"
0.066639,1.7953,0.017953,"Gib59","rel"
0.07800398,1.67039,0.0167039,"Gib59","rel"
0.08762049,1.579014,0.01579014,"Gib59","rel"
0.09374008,1.537671,0.01537671,"Gib59","rel"
0.105105,1.445473,0.01445473,"Gib59","rel"
0.1173442,1.393007,0.01393007,"Gib59","rel"
0.1278348,1.342572,0.01342572,"Gib59","rel"
0.1365771,1.34865,0.0134865,"Gib59","rel"
0.1496904,1.302343,0.01302343,"Gib59","rel"
0.1636779,1.28643,0.0128643,"Gib59","rel"
0.1750427,1.282212,0.01282212,"Gib59","rel"
0.1942755,1.300835,0.01300835,"Gib59","rel"
0.2152566,1.3701,0.013701,"Gib59","rel"
0.2327408,1.470022,0.01470022,"Gib59","rel"
0.2467282,1.480242,0.01480242,"Gib59","rel"
0.2598413,1.616691,0.01616691,"Gib59","rel"
0.2720802,1.66351,0.0166351,"Gib59","rel"
0.2729544,1.698281,0.01698281,"Gib59","rel"
0.2825707,1.815184,0.01815184,"Gib59","rel"
0.2948095,1.906191,0.01906191,"Gib59","rel"
0.3079225,1.965685,0.01965685,"Gib59","rel"
0.3201614,2.009236,0.02009236,"Gib59","rel"
0.3324001,1.967049,0.01967049,"Gib59","rel"
0.3463873,1.927036,0.01927036,"Gib59","rel"
0.3551293,1.787446,0.01787446,"Gib59","rel"
0.3708648,1.703345,0.01703345,"Gib59","rel"
0.3831035,1.581327,0.01581327,"Gib59","rel"
0.3970906,1.505659,0.01505659,"Gib59","rel"
0.4206937,1.320614,0.01320614,"Gib59","rel"
0.002183971,5.595375,0.08382935,"Mar19","rel"
0.002385885,5.456809,0.08384005,"Mar19","rel"
0.002592686,5.305795,0.08433243,"Mar19","rel"
0.002804365,5.207356,0.08552457,"Mar19","rel"
0.00302031,5.05256,0.0847294,"Mar19","rel"
0.003240364,5.17516,0.09031378,"Mar19","rel"
0.003463872,4.925496,0.09017204,"Mar19","rel"
0.003690902,4.805613,0.09020569,"Mar19","rel"
0.003921238,4.93923,0.09367794,"Mar19","rel"
0.004154371,5.024024,0.09723094,"Mar19","rel"
0.004390563,4.971533,0.09851541,"Mar19","rel"
0.004628933,5.005326,0.1041874,"Mar19","rel"
0.004869689,4.567042,0.09891482,"Mar19","rel"
0.005112692,4.611864,0.102613,"Mar19","rel"
0.005357338,4.691854,0.1093601,"Mar19","rel"
0.005603375,4.420279,0.1108938,"Mar19","rel"
0.005851169,4.222387,0.1076231,"Mar19","rel"
0.006100352,4.694943,0.1255085,"Mar19","rel"
0.00635048,4.354219,0.1199439,"Mar19","rel"
0.006601578,4.726389,0.1345929,"Mar19","rel"
0.006853464,4.137051,0.1259839,"Mar19","rel"
0.007105873,4.456333,0.1447373,"Mar19","rel"
0.007359096,4.135836,0.1365988,"Mar19","rel"
0.007612747,4.159703,0.1435971,"Mar19","rel"
0.007866494,3.942435,0.1551009,"Mar19","rel"
0.008120285,4.362248,0.1652441,"Mar19","rel"
0.008374636,4.143442,0.1539148,"Mar19","rel"
0.008629143,4.424349,0.1872132,"Mar19","rel"
0.008882742,4.026532,0.1951334,"Mar19","rel"
0.009389572,3.879684,0.1964327,"Mar19","rel"
2.608865e-08,5.882701,0.1330698,"Koe88","rel"
3.456921e-08,5.757024,0.09837351,"Koe88","rel"
4.784085e-08,5.684058,0.1169144,"Koe88","rel"
6.119992e-08,5.719731,0.05394071,"Koe88","rel"
7.321259e-08,5.695627,0.05390683,"Koe88","rel"
8.924697e-08,5.733079,0.05417379,"Koe88","rel"
1.108593e-07,5.66437,0.05350609,"Koe88","rel"
1.416341e-07,5.627097,0.053079,"Koe88","rel"
1.872718e-07,5.674665,0.05327827,"Koe88","rel"
2.552911e-07,5.712598,0.05409253,"Koe88","rel"
3.168407e-07,5.710666,0.05380607,"Koe88","rel"
3.888818e-07,5.800993,0.05454583,"Koe88","rel"
4.887251e-07,5.654563,0.05303551,"Koe88","rel"
6.331569e-07,5.751555,0.05467026,"Koe88","rel"
8.503292e-07,5.819887,0.05500018,"Koe88","rel"
1.206513e-06,5.759546,0.05470012,"Koe88","rel"
1.550981e-06,5.691495,0.05386171,"Koe88","rel"
1.734581e-06,5.839202,0.0556836,"Koe88","rel"
1.949655e-06,5.65623,0.05435516,"Koe88","rel"
2.208443e-06,5.707883,0.05477597,"Koe88","rel"
2.521437e-06,5.675726,0.05647405,"Koe88","rel"
2.907871e-06,5.622623,0.07140915,"Koe88","rel"
3.390476e-06,5.676084,0.07332296,"Koe88","rel"
4.002475e-06,5.65539,0.07231835,"Koe88","rel"
4.794577e-06,5.661571,0.07209151,"Koe88","rel"
5.85421e-06,5.659802,0.07128335,"Koe88","rel"
7.303774e-06,5.656776,0.07257372,"Koe88","rel"
9.377577e-06,5.7619,0.08851526,"Koe88","rel"
1.243233e-05,5.723593,0.09468445,"Koe88","rel"
1.533495e-05,5.629112,0.158913,"Koe88","rel"
1.829003e-05,5.681136,0.1632504,"Koe88","rel"
2.22418e-05,5.753711,0.1682113,"Koe88","rel"
2.757494e-05,5.692271,0.1643368,"Koe88","rel"
3.509378e-05,5.612388,0.1583425,"Koe88","rel"
4.61972e-05,5.706071,0.1784229,"Koe88","rel"
6.356049e-05,5.671267,0.1801364,"Koe88","rel"
9.279657e-05,5.432789,0.15703,"Koe88","rel"
0.000119777,5.395524,0.3611608,"Koe88","rel"
0.000132017,5.584074,0.3102263,"Koe88","rel"
0.0001460055,5.509973,0.2899986,"Koe88","rel"
0.0001626169,5.355897,0.2932991,"Koe88","rel"
0.0001827255,5.40704,0.3109048,"Koe88","rel"
0.0002054569,5.461165,0.3153429,"Koe88","rel"
0.0002343083,5.342189,0.3061426,"Koe88","rel"
0.0002684054,5.488332,0.3604278,"Koe88","rel"
0.000310371,5.267588,0.3347297,"Koe88","rel"
0.0003637024,5.24452,0.3432777,"Koe88","rel"
0.0004327709,5.200786,0.3328503,"Koe88","rel"
0.0005219479,5.300314,0.3426927,"Koe88","rel"
0.0006425992,5.145957,0.3041945,"Koe88","rel"
0.0008104618,4.92507,0.2846861,"Koe88","rel"
0.001057884,4.895033,0.2732111,"Koe88","rel"
0.001425084,4.794286,0.2491519,"Koe88","rel"
0.002037083,4.508892,0.2166435,"Koe88","rel"
0.003138682,4.123362,0.1960838,"Koe88","rel"
0.005473022,3.71379,0.1553577,"Koe88","rel"
0.01180284,3.139722,0.2172818,"Koe88","rel"
2.21e-08,5.708,0.057,"Koe88b","abs"
2.21e-08,7.775,0.078,"Dam18b","abs"
0.009813847,3.688387,0.03688387,"Gib59b","abs"
0.001987364,5.710998,0.08205219,"Her19","abs"
2.21e-08,6.818,0.068,"Cer89","abs"
2.21e-08,6.482,0.091,"Tom19","abs"
