"E","S","Stat","lab","Syst"
0.0749,6.85e-07,7.02e-08,"ma97a",0.0861776962410524
0.107,7.08e-07,6.84e-08,"ma97a",0.0861776962410524
0.133,9.56e-07,8.4e-08,"ma97a",0.0861776962410524
0.173,1.26e-06,9.82e-08,"ma97a",0.0861776962410524
0.00828,2.37e-07,7.1e-08,"bys08a",0.0769610411361284
0.00949,2.77e-07,6.4e-08,"bys08a",0.0769610411361284
0.0101,2.98e-07,6.5e-08,"bys08a",0.0769610411361284
0.01,2.425e-07,1.25e-08,"sch97a",0.0861776962410524
0.0167,2.74e-07,7.5e-09,"sch97a",0.0861776962410524
0.0233,3.452e-07,6.5e-09,"sch97a",0.0861776962410524
0.03,3.974e-07,6.1e-09,"sch97a",0.0861776962410524
0.0367,4.452e-07,5.7e-09,"sch97a",0.0861776962410524
0.0433,4.738e-07,7.2e-09,"sch97a",0.0861776962410524
0.05,4.744e-07,6.4e-09,"sch97a",0.0861776962410524
0.0025,2.3e-07,1e-07,"cas02a",0.0440168854167743
0.0026,1.59e-07,4.9e-08,"cas02a",0.0440168854167743
0.0032,2.37e-07,4e-08,"cas02a",0.0440168854167743
0.0032,2.56e-07,3.8e-08,"cas02a",0.0440168854167743
0.0038,2.42e-07,2.9e-08,"cas02a",0.0440168854167743
0.0042,2.33e-07,1.3e-08,"cas02a",0.0440168854167743
0.0046,2.29e-07,1.5e-08,"cas02a",0.0440168854167743
0.0046,2.51e-07,1.5e-08,"cas02a",0.0440168854167743
0.0052,2.49e-07,1.8e-08,"cas02a",0.0440168854167743
0.0058,2.43e-07,1.5e-08,"cas02a",0.0440168854167743
0.0061,2.52e-07,1.3e-08,"cas02a",0.0440168854167743
0.0065,2.62e-07,1.1e-08,"cas02a",0.0440168854167743
0.0067,2.61e-07,1.3e-08,"cas02a",0.0440168854167743
0.0072,2.69e-07,1.1e-08,"cas02a",0.0440168854167743
0.0078,2.73e-07,9.7e-09,"cas02a",0.0440168854167743
0.0084,2.73e-07,9.17e-08,"cas02a",0.0440168854167743
0.0085,2.64e-07,1.7e-08,"cas02a",0.0440168854167743
0.0091,2.62e-07,4.2e-08,"cas02a",0.0440168854167743
0.0091,2.71e-07,1.9e-08,"cas02a",0.0440168854167743
0.0097,2.7e-07,1.8e-08,"cas02a",0.0440168854167743
0.0098,2.79e-07,1.6e-08,"cas02a",0.0440168854167743
0.0104,3.01e-07,6.2e-08,"cas02a",0.0440168854167743
0.0104,2.85e-07,1.9e-08,"cas02a",0.0440168854167743
0.0105,2.9e-07,5.8e-08,"cas02a",0.0440168854167743
0.0106,2.86e-07,1.5e-08,"cas02a",0.0440168854167743
0.0112,2.88e-07,3e-08,"cas02a",0.0440168854167743
0.0112,2.8e-07,1.4e-08,"cas02a",0.0440168854167743
0.0119,2.9e-07,3.1e-08,"cas02a",0.0440168854167743
0.0119,2.89e-07,2.8e-08,"cas02a",0.0440168854167743
0.0123,2.77e-07,2.4e-08,"cas02a",0.0440168854167743
0.0124,2.89e-07,2.5e-08,"cas02a",0.0440168854167743
0.0132,3e-07,2.5e-08,"cas02a",0.0440168854167743
0.0132,2.68e-07,2.7e-08,"cas02a",0.0440168854167743
0.0138,3.11e-07,2.2e-08,"cas02a",0.0440168854167743
0.0144,2.9e-07,1.9e-08,"cas02a",0.0440168854167743
0.0146,3.46e-07,2.4e-08,"cas02a",0.0440168854167743
0.015,2.99e-07,2.4e-08,"cas02a",0.0440168854167743
0.0158,2.82e-07,3.4e-08,"cas02a",0.0440168854167743
0.0159,3.25e-07,1.6e-08,"cas02a",0.0440168854167743
0.0163,2.96e-07,2e-08,"cas02a",0.0440168854167743
0.0172,3.14e-07,2.5e-08,"cas02a",0.0440168854167743
0.0172,3.39e-07,1.4e-08,"cas02a",0.0440168854167743
0.0176,3.02e-07,1.8e-08,"cas02a",0.0440168854167743
0.0185,3.24e-07,2.2e-08,"cas02a",0.0440168854167743
0.0186,3.55e-07,1.4e-08,"cas02a",0.0440168854167743
0.0191,3.25e-07,1.9e-08,"cas02a",0.0440168854167743
0.0197,3.28e-07,1.8e-08,"cas02a",0.0440168854167743
0.0199,3.28e-07,2.2e-08,"cas02a",0.0440168854167743
0.0198,3.32e-07,3.1e-08,"cas02a",0.0440168854167743
0.0204,3.09e-07,1.7e-08,"cas02a",0.0440168854167743
0.0212,3.28e-07,1.2e-08,"cas02a",0.0440168854167743
