E,S,Stat,lab
0.701,0.000393,6.90E-05,Dil09
0.802,0.000385,2.10E-05,Dil09
0.902,0.000339,1.50E-05,Dil09
1.002,0.000351,1.30E-05,Dil09
1.002,0.000333,1.10E-05,Dil09
1.102,0.000334,3.00E-06,Dil09
1.102,0.000339,6.00E-06,Dil09
1.103,0.000334,9.00E-06,Dil09
1.203,0.000333,7.00E-06,Dil09
1.203,0.000333,1.20E-05,Dil09
1.353,0.000327,8.00E-06,Dil09
1.403,0.000343,4.00E-06,Dil09
1.403,0.00034,9.00E-06,Dil09
1.403,0.000343,1.10E-05,Dil09
1.504,0.000339,1.00E-05,Dil09
0.42,0.00042,1.40E-05,Nar04
0.506,0.000379,1.50E-05,Nar04
0.6145,0.000362,1.00E-05,Nar04
0.95,0.000316,6.00E-06,Nar04
0.3274,0.000495,1.50E-05,Bro07
0.426,0.000458,1.00E-05,Bro07
0.518,0.00044,1.00E-05,Bro07
0.5815,4.00E-04,1.10E-05,Bro07
0.7024,0.000375,1.00E-05,Bro07
0.7968,0.000363,7.00E-06,Bro07
1.2337,0.00033,6.00E-06,Bro07
1.2347,0.000324,6.00E-06,Bro07
0.0929,0.000534,1.60E-05,Cos08
0.1057,0.000493,1.50E-05,Cos08
0.1265,0.000514,2.00E-05,Cos08
0.1477,0.000499,1.70E-05,Cos08
0.1689,0.000482,2.00E-05,Cos08
0.1695,0.000507,1.00E-05,Cos08
