 E,S,Stat,lab
0.0561,0.078185,0.0034139,Leo06
0.0864,0.083631,0.0025573,Leo06
0.1164,0.092168,0.0020515,Leo06
0.1573,0.10769,0.0025573,Leo06
0.1896,0.11606,0.0020765,Leo06
0.2351,0.12672,0.0018949,Leo06
0.27865,0.14662,0.0021567,Leo06
0.32305,0.15629,0.0029465,Leo06
0.02466,0.0687,0.0027,Gre95
0.03962,0.0733,0.0029,Gre95
0.041,0.073,0.0028,Gre95
0.05,0.0759,0.003,Gre95
0.052,0.0733,0.0028,Gre95
0.076,0.083,0.0028,Gre95
0.102,0.09,0.0032,Gre95
0.128,0.1006,0.0035,Gre95
0.019964,0.05999,0.00072,Bro90
0.024961,0.06224,0.00062,Bro90
0.029959,0.06431,0.00064,Bro90
0.034957,0.06536,0.00056,Bro90
0.039956,0.06532,0.00054,Bro90
0.044956,0.06841,0.00031,Bro90
0.049955,0.06979,0.00055,Bro90
0.054955,0.0725,0.00054,Bro90
0.058495,0.07227,0.00064,Bro90
0.01988,0.0546,0.0038,Kra87B
0.02236,0.0565,0.0038,Kra87B
0.02982,0.0582,0.0039,Kra87B
0.03478,0.0594,0.0039,Kra87B
0.03979,0.0589,0.0039,Kra87B
0.04472,0.0609,0.0041,Kra87B
0.04967,0.0593,0.0039,Kra87B
0.0196,0.0583,0.0081,Kra87M
0.024,0.0564,0.0075,Kra87M
0.029,0.0544,0.0057,Kra87M
0.0348,0.0542,0.0056,Kra87M
0.0397,0.0589,0.0049,Kra87M
0.0446,0.0596,0.0048,Kra87M
0.0495,0.0619,0.005,Kra87M
0.0543,0.0646,0.0052,Kra87M
0.0593,0.0685,0.0056,Kra87M
0.0643,0.0709,0.0058,Kra87M
0.074,0.0786,0.0064,Kra87M
0.0838,0.083,0.0067,Kra87M
0.0936,0.0867,0.007,Kra87M
0.1034,0.0896,0.0073,Kra87M
0.1132,0.0932,0.0076,Kra87M
0.123,0.0982,0.008,Kra87M
0.133,0.1057,0.0086,Kra87M
0.1425,0.1093,0.0089,Kra87M
0.1525,0.1079,0.0088,Kra87M
0.1625,0.1142,0.0093,Kra87M
