"T9","Adopted","Lower","Upper","data"
0.001,0.954586561436957,0.922427553190906,0.985405611006089,"previous"
0.002,0.957978034665111,0.92560970600846,0.988634576710112,"previous"
0.003,0.960287574759153,0.927901405571198,0.991016777151446,"previous"
0.004,0.962082234455556,0.929732075756195,0.992901024695776,"previous"
0.005,0.964215859735379,0.931384136912848,0.994455604440341,"previous"
0.006,0.964963751787895,0.933097886995576,0.996012543124,"previous"
0.007,0.966616467516761,0.934204772707068,0.997282917221317,"previous"
0.008,0.967861275833873,0.935537411708022,0.998595441724026,"previous"
0.009,0.969335867418683,0.937072469464659,1.00016533657475,"previous"
0.01,0.970171855381177,0.937793971131961,1.00091919869698,"previous"
0.011,0.971258007830712,0.938970005773447,1.00180071247948,"previous"
0.012,0.972226586260638,0.939989985058326,1.0029978874083,"previous"
0.013,0.973324710316891,0.94109988458097,1.00403108876683,"previous"
0.014,0.974114728395602,0.94223155899075,1.00515886702664,"previous"
0.015,0.975472518353497,0.942986435397381,1.00617854196955,"previous"
0.016,0.976337431807038,0.943925821455936,1.00700380160077,"previous"
0.018,0.977899035589629,0.945660605844916,1.00834644145964,"previous"
0.02,0.979727175520795,0.947428477426703,1.01016962659799,"previous"
0.025,0.983625816331909,0.951051195141697,1.01428428333446,"previous"
0.03,0.986825392792638,0.954830205214402,1.01748046780215,"previous"
0.04,0.992679048602091,0.960564371510666,1.0228764315388,"previous"
0.05,0.997534962287307,0.965531721971794,1.02772669843402,"previous"
0.06,1.00092137854562,0.969437889965655,1.03092577705807,"previous"
0.07,1.00349845430611,0.972424731677324,1.0336582439164,"previous"
0.08,1.00606263432714,0.974937857650961,1.03535654178708,"previous"
0.09,1.00757357958171,0.976979240120725,1.03689315489848,"previous"
0.1,1.00872724392102,0.978416190374276,1.03780739173997,"previous"
0.11,1.00893535825066,0.979092216410138,1.03759267988559,"previous"
0.12,1.00934908615546,0.979328789475361,1.03803514742756,"previous"
0.13,1.0092346258165,0.979689188350679,1.0373731376887,"previous"
0.14,1.00848272164234,0.979513126732031,1.03642986026169,"previous"
0.15,1.00787162003505,0.979075288034045,1.03564861285017,"previous"
0.16,1.00701212134505,0.978714300105705,1.03452931303297,"previous"
0.18,1.00491758713461,0.977235913839129,1.03199220619115,"previous"
0.2,1.00247632746732,0.97512143570657,1.02902666358804,"previous"
0.25,0.996155635759904,0.970181175912747,1.02213009560706,"previous"
0.3,0.99077629611265,0.965429122246713,1.01612346997859,"previous"
0.35,0.986648984168811,0.961869611745305,1.01188094786946,"previous"
0.4,0.983700380807373,0.959486217587499,1.00867123662787,"previous"
0.45,0.982094754398582,0.957610397640723,1.00712320797328,"previous"
0.5,0.980936455858071,0.956940540868712,1.00575981619189,"previous"
0.6,0.980437616579263,0.95663664823196,1.00504998157477,"previous"
0.7,0.980946510356728,0.957151567716176,1.00573290894064,"previous"
0.8,0.982283518417542,0.958252597675956,1.00709976336637,"previous"
0.9,0.984327230725113,0.960284000182841,1.00929014768157,"previous"
1,0.986893528779404,0.962432651415633,1.01204022513468,"previous"
1.25,0.994973232632823,0.969669644518636,1.02118052032252,"previous"
1.5,1.00550918919344,0.979484245473139,1.03311140223012,"previous"
1.75,1.01843327892659,0.990770330678405,1.04755217181942,"previous"
2,1.03337696189342,1.00416980684663,1.06467034230069,"previous"
2.5,1.06943294588694,1.03647557837219,1.10508071074984,"previous"
3,1.11231077528623,1.0756635624336,1.15302990067804,"previous"
3.5,1.16121934006985,1.12067104282478,1.20736050590044,"previous"
4,1.21505096014118,1.16921370835142,1.26670881533281,"previous"
5,1.33249182805407,1.27740378962643,1.3971603949039,"previous"
6,1.46254235340832,1.39742313911697,1.53910142966976,"previous"
7,1.60159386186834,1.52703356721062,1.69067888925159,"previous"
8,1.74717366209864,1.66230791044843,1.84901256407888,"previous"
9,1.89860646129185,1.80373398729677,2.01314761892006,"previous"
10,2.05418443273485,1.94871286039394,2.18100144233523,"previous"
0.001,1,0.98152109829503,1.01593591039435,"present"
0.002,1,0.981528905732609,1.01595648517825,"present"
0.003,1,0.98154260749828,1.01594616612927,"present"
0.004,1,0.98155835806583,1.01595969495166,"present"
0.005,1,0.981534270385733,1.01595119397196,"present"
0.006,1,0.981538436092606,1.0159336716979,"present"
0.007,1,0.981523065886908,1.01584397070989,"present"
0.008,1,0.981508089261256,1.01581587395214,"present"
0.009,1,0.981485746462339,1.01576051391253,"present"
0.01,1,0.981483172477447,1.0157810976005,"present"
0.011,1,0.981461475292431,1.01578481446424,"present"
0.012,1,0.981468258286248,1.01577543573822,"present"
0.013,1,0.981479988441238,1.01579012906776,"present"
0.014,1,0.981507612066834,1.01581817825812,"present"
0.015,1,0.981500479439212,1.01582827680125,"present"
0.016,1,0.981551531663928,1.01583649548097,"present"
0.018,1,0.981555315165102,1.01581901731127,"present"
0.02,1,0.981563052643634,1.01578372356376,"present"
0.025,1,0.98147605220024,1.01576501668371,"present"
0.03,1,0.981543864305619,1.01597246926907,"present"
0.04,1,0.981649735507766,1.01557833537777,"present"
0.05,1,0.981781712024498,1.01578756862152,"present"
0.06,1,0.981690828014764,1.01553547081561,"present"
0.07,1,0.98160405906759,1.01524955644767,"present"
0.08,1,0.981416285909941,1.01522998135521,"present"
0.09,1,0.981492126136409,1.01550547318542,"present"
0.1,1,0.981545770142002,1.0154105237157,"present"
0.11,1,0.981145288108901,1.01532371102347,"present"
0.12,1,0.981490738399313,1.01518829488893,"present"
0.13,1,0.981605239242357,1.01509388461908,"present"
0.14,1,0.981524828018889,1.01494237412551,"present"
0.15,1,0.981780453523001,1.0151254117274,"present"
0.16,1,0.982270392186576,1.01523419468346,"present"
0.18,1,0.982777434335073,1.01526096495223,"present"
0.2,1,0.982595877132106,1.01548335178525,"present"
0.25,1,0.983580283189341,1.0157732101292,"present"
0.3,1,0.98353008240793,1.01546313310498,"present"
0.35,1,0.983462464969007,1.01555590964443,"present"
0.4,1,0.983130928028729,1.01594440757194,"present"
0.45,1,0.982995559463196,1.0158466589895,"present"
0.5,1,0.982917191605143,1.0161011351578,"present"
0.6,1,0.982692383022461,1.016320338045,"present"
0.7,1,0.982877587794239,1.01624969235744,"present"
0.8,1,0.983001772393355,1.01634191870215,"present"
0.9,1,0.983008415703773,1.01621073853125,"present"
1,1,0.982911885661861,1.01623239198288,"present"
1.25,1,0.983216120210913,1.01658399780615,"present"
1.5,1,0.983866526135443,1.01693950218852,"present"
1.75,1,0.984281675693562,1.01722647590019,"present"
2,1,0.984308360627983,1.01727095976605,"present"
2.5,1,0.984132506358062,1.01585478596166,"present"
3,1,0.983950140362813,1.01587939024844,"present"
3.5,1,0.984583617972791,1.01643807204787,"present"
4,1,0.984644990596633,1.01648327098325,"present"
5,1,0.984807494714205,1.01604887240432,"present"
6,1,0.98438721592358,1.01631760833839,"present"
7,1,0.984969891291804,1.01661052795457,"present"
8,1,0.984513838985949,1.01617657618128,"present"
9,1,0.984791516433786,1.01646360942717,"present"
10,1,0.984532293198696,1.01690900100675,"present"
