T9,,E0,DE0,Adopted,Lower,Upper,SKM
0.001,,0.002,0.001,3.562E19,3.442E19,3.677E19,0.74
0.002,,0.003,0.002,6.156E13,5.948E13,6.353E13,0.81
0.003,,0.004,0.002,6.375E10,6.160E10,6.579E10,0.84
0.004,,0.005,0.003,5.026E08,4.857E08,5.187E08,0.86
0.005,,0.006,0.004,1.116E06,1.078E06,1.151E06,0.87
0.006,,0.007,0.004,1.181E05,1.142E05,1.219E05,0.89
0.007,,0.008,0.005,7.754E05,7.494E05,8.000E05,0.90
0.008,,0.008,0.006,3.653E04,3.531E04,3.769E04,0.90
0.009,,0.009,0.006,1.352E03,1.307E03,1.395E03,0.91
0.010,,0.010,0.007,4.165E03,4.026E03,4.297E03,0.91
0.011,,0.010,0.007,1.113E02,1.076E02,1.148E02,0.92
0.012,,0.011,0.008,2.654E02,2.566E02,2.738E02,0.92
0.013,,0.011,0.008,5.769E02,5.578E02,5.951E02,0.93
0.014,,0.012,0.009,1.161E01,1.123E01,1.198E01,0.93
0.015,,0.013,0.009,2.192E01,2.119E01,2.261E01,0.93
0.016,,0.013,0.010,3.916E01,3.786E01,4.039E01,0.93
0.018,,0.014,0.011,1.092E00,1.056E00,1.126E00,0.94
0.020,,0.015,0.012,2.639E00,2.552E00,2.721E00,0.94
0.025,,0.018,0.014,1.540E01,1.489E01,1.588E01,0.95
0.030,,0.020,0.017,5.891E01,5.700E01,6.074E01,0.95
0.040,,0.024,0.021,4.142E02,4.008E02,4.268E02,0.95
0.050,,0.028,0.025,1.652E03,1.599E03,1.702E03,0.94
0.060,,0.032,0.030,4.737E03,4.588E03,4.879E03,0.94
0.070,,0.035,0.034,1.098E04,1.064E04,1.131E04,0.94
0.080,,0.038,0.038,2.198E04,2.130E04,2.262E04,0.94
0.090,,0.041,0.041,3.952E04,3.832E04,4.067E04,0.94
0.100,,0.044,0.045,6.556E04,6.359E04,6.745E04,0.94
0.110,,0.047,0.049,1.021E05,9.908E04,1.050E05,0.94
0.120,,0.050,0.053,1.513E05,1.468E05,1.556E05,0.95
0.130,,0.053,0.056,2.152E05,2.089E05,2.212E05,0.96
0.140,,0.056,0.060,2.959E05,2.874E05,3.041E05,0.96
0.150,,0.058,0.063,3.955E05,3.842E05,4.064E05,0.97
0.160,,0.061,0.067,5.160E05,5.015E05,5.301E05,0.98
0.180,,0.066,0.074,8.277E05,8.049E05,8.500E05,0.98
0.200,,0.071,0.081,1.246E06,1.212E06,1.279E06,0.99
0.250,,0.082,0.097,2.838E06,2.764E06,2.912E06,0.97
0.300,,0.093,0.113,5.316E06,5.180E06,5.452E06,0.96
0.350,,0.103,0.128,8.720E06,8.501E06,8.943E06,0.97
0.400,,0.112,0.143,1.300E07,1.268E07,1.333E07,0.98
0.450,,0.121,0.158,1.805E07,1.760E07,1.851E07,0.99
0.500,,0.130,0.173,2.371E07,2.313E07,2.431E07,1.00
0.600,,0.147,0.201,3.625E07,3.537E07,3.716E07,0.99
0.700,,0.163,0.229,4.947E07,4.827E07,5.072E07,0.98
0.800,,0.178,0.256,6.254E07,6.101E07,6.412E07,0.97
0.900,,0.192,0.282,7.492E07,7.309E07,7.682E07,0.97
1.000,,0.206,0.308,8.634E07,8.420E07,8.854E07,0.96
1.250,,0.239,0.371,1.101E08,1.073E08,1.130E08,0.97
1.500,,0.270,0.432,1.275E08,1.242E08,1.310E08,0.97
1.750,,0.300,0.491,1.399E08,1.361E08,1.439E08,0.97
2.000,,0.328,0.549,1.486E08,1.444E08,1.531E08,0.97
2.500,,0.380,0.661,1.590E08,1.541E08,1.643E08,
3.000,,0.429,0.769,1.639E08,1.585E08,1.699E08,
3.500,,0.476,0.875,1.661E08,1.603E08,1.727E08,
4.000,,0.520,0.977,1.670E08,1.607E08,1.741E08,
5.000,,0.603,1.177,1.669E08,1.600E08,1.750E08,
6.000,,0.681,1.370,1.662E08,1.588E08,1.749E08,
7.000,,0.755,1.558,1.654E08,1.577E08,1.746E08,
8.000,,0.825,1.742,1.647E08,1.567E08,1.743E08,
9.000,,0.893,1.921,1.641E08,1.559E08,1.740E08,
10.000,,0.958,2.098,1.636E08,1.552E08,1.737E08,
